given_name,family_name,gender,birth_date,country_of_origin,destination_country,destination_city,port_of_entry,visa_category,arrival_date,reason_for_migration,status_at_5_years,naturalization_date,asylum_related
Chen,Sanchez,Male,1964-12-03,Philippines,Germany,Cologne,FRA,Family,2010-06-13,Family Reunification,Permanent Resident,,FALSE
Sofia,Yamada,Male,1961-02-22,Nigeria,United Kingdom,Manchester,Manchester Airport,Investor,2022-06-12,Conflict/War,Permanent Resident,,TRUE
Leila,Brown,Female,1989-04-06,Indonesia,Netherlands,Groningen,Eindhoven Airport,Refugee,2021-03-31,Conflict/War,Permanent Resident,,TRUE
Carlos,Garcia,Female,1999-08-22,Kenya,Australia,Sydney,Melbourne Airport,Investor,2021-04-30,Work,Citizen,2027-09-29,FALSE
Yuki,Bauer,Female,1979-04-11,Italy,Netherlands,Rotterdam,Schiphol,Student,2005-04-30,Study,Temporary Resident,,FALSE
Nina,Zhang,Female,1998-02-08,Peru,Spain,Zaragoza,Valencia Airport,Student,2018-02-28,Work,Departed,,FALSE
Lucas,Bauer,Male,1964-01-16,Kenya,Italy,Naples,Turin Airport,Student,2012-02-21,Conflict/War,Citizen,2017-03-27,TRUE
Carlos,Schmidt,Male,2003-08-10,Ethiopia,France,Paris,Nice Côte d'Azur,Work,2025-09-14,Work,Departed,,FALSE
Ibrahim,Li,Female,1987-11-08,Morocco,Sweden,Gothenburg,Gothenburg Landvetter,Skilled Worker,2022-09-28,Persecution,Permanent Resident,,TRUE
Ethan,Ibrahim,Female,2002-06-02,France,United States,Seattle,SEA,Family,2021-06-23,Climate/Disaster,Permanent Resident,,FALSE
Omar,Popov,Male,1965-10-17,Nigeria,Sweden,Norrkoping,Gothenburg Landvetter,Family,2006-09-26,Study,Citizen,2012-02-06,FALSE
Ava,Gonzalez,Male,1978-12-03,Russia,Sweden,Orebro,Arlanda,Family,2023-01-24,Work,Temporary Resident,,FALSE
Hassan,Li,Male,1963-12-09,Syria,Germany,Dusseldorf,FRA,Work,2012-12-31,Family Reunification,Permanent Resident,,FALSE
Yuki,Schmidt,Male,1971-03-07,Dominican Republic,Spain,Barcelona,Madrid–Barajas,Work,2005-03-09,Economic Opportunity,Permanent Resident,,FALSE
Ibrahim,Ivanov,Female,2000-09-16,China,Australia,Hobart,Sydney Airport,Student,2023-02-08,Work,Citizen,2032-11-25,FALSE
Amina,Li,Male,1993-09-13,Japan,France,Montpellier,Marseille Provence,Student,2021-04-24,Study,Permanent Resident,,FALSE
Chen,Khan,Female,1995-11-14,Thailand,Australia,Brisbane,Sydney Airport,Work,2014-04-06,Climate/Disaster,Permanent Resident,,FALSE
Sofia,Kim,Female,1981-08-05,Vietnam,Canada,Quebec City,Montreal-Trudeau,Family,2023-07-26,Work,Temporary Resident,,FALSE
David,Sanchez,Male,1969-02-01,Romania,Netherlands,Nijmegen,Eindhoven Airport,Diversity,2009-09-04,Work,Permanent Resident,,FALSE
Mia,Moretti,Male,1963-09-15,Kenya,France,Paris,Lyon–Saint-Exupéry,Refugee,2008-01-22,Climate/Disaster,Temporary Resident,,TRUE
Yuki,Hernandez,Female,1987-03-24,Italy,Sweden,Uppsala,Arlanda,Work,2016-08-04,Family Reunification,Citizen,2024-01-20,FALSE
Jin,Jones,Male,2005-10-26,Greece,Australia,Sydney,Perth Airport,Student,2025-02-25,Family Reunification,Permanent Resident,,FALSE
Sofia,Nowak,Female,1987-11-06,Japan,Italy,Milan,Malpensa,Work,2024-02-21,Persecution,Permanent Resident,,TRUE
Sofia,Garcia,Female,1993-03-25,Syria,Sweden,Helsingborg,Malmo Airport,Work,2021-07-10,Economic Opportunity,Temporary Resident,,FALSE
Amina,Nowak,Male,2005-09-19,Dominican Republic,Sweden,Linkoping,Arlanda,Family,2023-11-03,Study,Permanent Resident,,FALSE
Wei,Jones,Female,1954-02-21,Ukraine,Australia,Canberra,Adelaide Airport,Family,2024-07-23,Work,Temporary Resident,,FALSE
Anita,Rossi,Female,1999-09-20,Ethiopia,Spain,Seville,Palma de Mallorca,Asylum,2018-09-19,Work,Temporary Resident,,TRUE
Aria,Hernandez,Male,1963-04-18,Bulgaria,France,Nantes,Orly,Family,2021-12-16,Work,Undocumented,,FALSE
Sara,Sanchez,Male,1959-12-05,Morocco,Australia,Gold Coast,Sydney Airport,Diversity,2015-05-13,Family Reunification,Temporary Resident,,FALSE
Fatima,Schmidt,Male,1986-02-10,Guatemala,Sweden,Orebro,Gothenburg Landvetter,Student,2016-03-06,Family Reunification,Citizen,2026-06-15,FALSE
Elena,Singh,Female,1976-07-11,Iraq,United Kingdom,Sheffield,Heathrow,Work,2017-03-08,Work,Temporary Resident,,FALSE
Sara,Smith,Male,1971-01-03,Dominican Republic,Italy,Bari,Bologna Guglielmo Marconi,Family,2020-03-20,Work,Temporary Resident,,FALSE
Raj,Costa,Male,1993-03-09,Malaysia,France,Lille,Orly,Family,2022-04-16,Family Reunification,Temporary Resident,,FALSE
Emma,Ivanov,Female,2001-08-31,Ukraine,France,Lille,Lyon–Saint-Exupéry,Family,2022-01-24,Work,Permanent Resident,,FALSE
Yuki,Ali,Female,1969-05-06,Philippines,Spain,Palma,Malaga–Costa del Sol,Family,2012-09-08,Work,Temporary Resident,,FALSE
Omar,Hassan,Female,1985-10-20,Thailand,United Kingdom,Bristol,Gatwick,Family,2010-02-10,Work,Citizen,2016-04-24,FALSE
Ava,Nowak,Male,1977-06-08,Honduras,Sweden,Malmo,Arlanda,Family,2013-05-25,Study,Citizen,2022-08-23,FALSE
Zoe,Davis,Male,1964-10-01,Guatemala,Germany,Hamburg,BER,Refugee,2000-03-15,Family Reunification,Permanent Resident,,TRUE
Zoe,Zhang,Female,1989-03-15,Ukraine,Netherlands,Nijmegen,Eindhoven Airport,Family,2008-03-12,Work,Permanent Resident,,FALSE
Liam,Kim,Female,1996-06-13,Greece,Sweden,Stockholm,Malmo Airport,Work,2024-08-17,Climate/Disaster,Citizen,2028-07-26,FALSE
Noah,Kumar,Female,1969-05-28,Syria,Canada,Quebec City,Pearson Intl,Student,2007-02-18,Work,Citizen,2010-10-31,FALSE
Camila,Garcia,Female,1979-06-03,Ukraine,Sweden,Jonkoping,Malmo Airport,Humanitarian,2011-09-05,Study,Permanent Resident,,FALSE
Lucas,Rodriguez,Male,1994-12-16,China,Australia,Darwin,Adelaide Airport,Family,2013-10-14,Work,Temporary Resident,,FALSE
Lucas,Yamada,Non-binary,2005-03-11,Ethiopia,United States,Los Angeles,SEA,Family,2025-04-04,Study,Citizen,2035-12-10,FALSE
Sofia,Zhang,Male,1992-06-27,Bulgaria,United States,Atlanta,BOS,Humanitarian,2011-11-02,Study,Citizen,2019-04-04,FALSE
Priya,Yamada,Male,1965-05-22,Germany,Netherlands,Amsterdam,Schiphol,Refugee,2005-02-06,Conflict/War,Permanent Resident,,TRUE
Alex,Singh,Male,1973-04-07,Malaysia,Spain,Murcia,Madrid–Barajas,Family,2025-02-27,Study,Permanent Resident,,FALSE
Ibrahim,Martinez,Female,1972-03-04,Greece,France,Marseille,Marseille Provence,Skilled Worker,2003-11-28,Conflict/War,Permanent Resident,,TRUE
Igor,Perez,Male,1979-04-07,Iraq,Spain,Murcia,Madrid–Barajas,Work,2013-05-24,Work,Temporary Resident,,FALSE
Akira,Johnson,Female,1955-11-06,Pakistan,United Kingdom,London,Heathrow,Diversity,2018-12-04,Study,Permanent Resident,,FALSE
Liam,Jones,Male,1989-09-22,Vietnam,Italy,Turin,Bologna Guglielmo Marconi,Diversity,2018-08-22,Study,Temporary Resident,,FALSE
Maria,Ibrahim,Female,1952-01-15,Dominican Republic,Netherlands,Eindhoven,Schiphol,Skilled Worker,2010-10-02,Work,Permanent Resident,,FALSE
Hiro,Smith,Male,1991-08-21,Pakistan,Italy,Palermo,Naples Intl,Family,2014-05-16,Study,Citizen,2025-01-23,FALSE
Maria,Ivanov,Female,1959-04-16,Bulgaria,Germany,Berlin,HAM,Work,2004-07-04,Work,Permanent Resident,,FALSE
Isabella,Gonzalez,Prefer not to say,2004-10-22,Argentina,United States,Seattle,HOU,Humanitarian,2024-04-30,Persecution,Permanent Resident,,TRUE
Zoe,Ali,Male,1994-11-18,South Korea,Sweden,Uppsala,Arlanda,Work,2019-06-07,Persecution,Temporary Resident,,TRUE
Fatima,Zhang,Male,1954-11-25,Bulgaria,France,Strasbourg,Nice Côte d'Azur,Family,2012-02-14,Work,Citizen,2020-06-22,FALSE
Anna,Moretti,Male,1985-01-19,Romania,Australia,Perth,Adelaide Airport,Family,2003-09-17,Study,Permanent Resident,,FALSE
Anita,Yamada,Female,1988-07-03,Mexico,Netherlands,Nijmegen,Schiphol,Diversity,2018-03-31,Work,Citizen,2022-11-25,FALSE
Maria,Popov,Female,1990-10-25,Germany,Sweden,Orebro,Arlanda,Student,2017-11-20,Family Reunification,Citizen,2029-10-13,FALSE
Diego,Kumar,Male,2000-03-17,Japan,United Kingdom,Birmingham,Edinburgh Airport,Skilled Worker,2025-07-01,Study,Temporary Resident,,FALSE
Hassan,Bauer,Female,1971-08-13,Nepal,Germany,Berlin,DUS,Skilled Worker,2002-02-04,Work,Permanent Resident,,FALSE
Elena,Miller,Male,1976-11-05,Ukraine,France,Nantes,Lyon–Saint-Exupéry,Family,2005-05-12,Family Reunification,Permanent Resident,,FALSE
Ava,Jones,Female,1979-03-15,Russia,Spain,Zaragoza,Palma de Mallorca,Skilled Worker,2011-08-03,Economic Opportunity,Temporary Resident,,FALSE
Carlos,Costa,Female,1971-12-09,Cuba,Australia,Newcastle,Brisbane Airport,Family,2020-04-20,Study,Permanent Resident,,FALSE
Anita,Nguyen,Female,1978-02-23,Sri Lanka,Canada,Montreal,Montreal-Trudeau,Family,2013-05-09,Family Reunification,Permanent Resident,,FALSE
Chen,Rodriguez,Female,1961-09-28,Nigeria,United Kingdom,Birmingham,Edinburgh Airport,Skilled Worker,2011-08-20,Economic Opportunity,Permanent Resident,,FALSE
Maria,Zhang,Female,1967-05-24,Malaysia,Sweden,Orebro,Gothenburg Landvetter,Skilled Worker,2025-01-19,Work,Departed,,FALSE
Ahmed,Gonzalez,Female,1968-06-14,Poland,Sweden,Orebro,Gothenburg Landvetter,Family,2020-10-20,Work,Temporary Resident,,FALSE
Ibrahim,Khan,Female,1980-09-08,Ireland,Australia,Adelaide,Adelaide Airport,Student,2009-05-11,Work,Departed,,FALSE
Leila,Sanchez,Male,1997-01-03,Brazil,Italy,Turin,Fiumicino,Family,2015-07-23,Work,Permanent Resident,,FALSE
Isabella,Perez,Male,1951-08-07,Sri Lanka,Spain,Madrid,Madrid–Barajas,Work,2014-03-26,Economic Opportunity,Citizen,2023-11-30,FALSE
Wei,Yamada,Female,2006-09-09,Philippines,Australia,Gold Coast,Melbourne Airport,Asylum,2024-10-02,Persecution,Permanent Resident,,TRUE
Emma,Moretti,Male,1994-04-22,Algeria,France,Strasbourg,Orly,Diversity,2017-01-10,Climate/Disaster,Citizen,2022-06-07,FALSE
Diego,Rodriguez,Female,1977-04-26,Venezuela,France,Nice,Marseille Provence,Work,2009-04-22,Family Reunification,Undocumented,,FALSE
Mia,Abdul,Female,1983-02-14,Turkey,France,Nantes,Orly,Student,2010-01-08,Work,Permanent Resident,,FALSE
Diego,Gonzalez,Female,1953-03-11,Iraq,Italy,Genoa,Turin Airport,Work,2013-10-13,Conflict/War,Temporary Resident,,TRUE
Jin,Schmidt,Male,1979-12-31,Colombia,France,Lyon,Nice Côte d'Azur,Skilled Worker,2009-11-08,Family Reunification,Permanent Resident,,FALSE
Lucas,Hernandez,Male,1974-04-13,Greece,Italy,Bari,Turin Airport,Family,2023-03-08,Persecution,Temporary Resident,,TRUE
Fatima,Jones,Male,1953-01-19,Cuba,United Kingdom,Edinburgh,Edinburgh Airport,Work,2011-08-24,Work,Permanent Resident,,FALSE
Igor,Nguyen,Female,1955-08-19,Turkey,Germany,Dresden,DUS,Work,2010-02-09,Work,Departed,,FALSE
Anita,Zhang,Female,1999-04-15,Pakistan,United States,Chicago,LAX,Student,2020-06-17,Work,Permanent Resident,,FALSE
Anita,Perez,Male,1974-12-17,Germany,Netherlands,Rotterdam,Rotterdam The Hague,Student,2023-12-21,Climate/Disaster,Permanent Resident,,FALSE
Lucas,Nguyen,Male,1973-02-12,India,Spain,Valencia,Malaga–Costa del Sol,Work,2011-05-30,Family Reunification,Temporary Resident,,FALSE
David,Schmidt,Female,1958-05-01,Brazil,Spain,Palma,Madrid–Barajas,Work,2022-08-03,Work,Undocumented,,FALSE
Igor,Abdul,Male,1956-12-07,United Kingdom,Netherlands,Groningen,Rotterdam The Hague,Family,2023-11-04,Study,Permanent Resident,,FALSE
Zoe,Johnson,Female,1953-04-19,Russia,United States,San Francisco,LAX,Family,2011-02-20,Work,Permanent Resident,,FALSE
Isabella,Kumar,Male,1981-11-24,India,Australia,Gold Coast,Perth Airport,Student,2015-06-22,Work,Citizen,2025-08-12,FALSE
Igor,Silva,Male,1960-02-16,Algeria,Germany,Munich,BER,Work,2016-02-09,Study,Departed,,FALSE
Leila,Li,Female,1994-01-27,Japan,United Kingdom,Cardiff,Heathrow,Student,2022-10-04,Work,Permanent Resident,,FALSE
Leila,Brown,Female,1963-03-18,Germany,Australia,Gold Coast,Melbourne Airport,Skilled Worker,2005-07-17,Conflict/War,Permanent Resident,,TRUE
Mohamed,Smith,Male,1998-10-04,Vietnam,Germany,Dresden,HAM,Family,2023-05-19,Economic Opportunity,Temporary Resident,,FALSE
Igor,Miller,Male,1969-04-04,Poland,United Kingdom,Liverpool,Gatwick,Student,2001-12-12,Economic Opportunity,Permanent Resident,,FALSE
Aria,Kim,Male,1975-04-12,Venezuela,Netherlands,Rotterdam,Rotterdam The Hague,Work,2021-08-29,Work,Permanent Resident,,FALSE
Mia,Costa,Male,1974-11-29,Colombia,Spain,Palma,Palma de Mallorca,Work,2023-03-28,Work,Permanent Resident,,FALSE
Priya,Kumar,Female,2006-06-29,Greece,Spain,Zaragoza,Barcelona–El Prat,Student,2024-07-28,Conflict/War,Permanent Resident,,TRUE
Zoe,Gonzalez,Female,1958-08-21,Argentina,United Kingdom,Glasgow,Edinburgh Airport,Work,2011-11-30,Study,Permanent Resident,,FALSE
Noah,Jones,Female,1959-06-20,Peru,France,Toulouse,Orly,Family,2008-10-29,Work,Permanent Resident,,FALSE
Anna,Williams,Female,1996-05-24,Nigeria,Australia,Gold Coast,Perth Airport,Work,2017-03-01,Work,Citizen,2028-12-17,FALSE
Jin,Gonzalez,Female,1988-02-10,Bangladesh,Australia,Canberra,Sydney Airport,Skilled Worker,2017-08-01,Climate/Disaster,Departed,,FALSE
Camila,Martinez,Female,1968-08-28,Russia,Canada,Quebec City,Montreal-Trudeau,Work,2020-12-09,Study,Permanent Resident,,FALSE
Ava,Yamada,Non-binary,1993-03-05,Mexico,Netherlands,The Hague,Eindhoven Airport,Work,2020-06-13,Conflict/War,Temporary Resident,,TRUE
Isabella,Li,Female,1955-07-01,Nepal,Spain,Barcelona,Barcelona–El Prat,Skilled Worker,2013-05-05,Work,Permanent Resident,,FALSE
Emma,Wang,Female,1996-12-17,Kenya,United Kingdom,Birmingham,Edinburgh Airport,Family,2020-01-23,Work,Citizen,2028-11-15,FALSE
Zoe,Zhang,Male,2001-05-01,Brazil,United States,Dallas,BOS,Skilled Worker,2022-01-18,Study,Temporary Resident,,FALSE
Mia,Novak,Female,2000-06-12,Sri Lanka,Netherlands,Almere,Eindhoven Airport,Work,2023-01-03,Study,Permanent Resident,,FALSE
Igor,Ali,Male,1964-03-15,Russia,Sweden,Orebro,Gothenburg Landvetter,Student,2003-10-01,Family Reunification,Permanent Resident,,FALSE
Chen,Park,Female,1952-12-28,Indonesia,Netherlands,Nijmegen,Eindhoven Airport,Student,2012-07-09,Persecution,Temporary Resident,,TRUE
Ava,Bauer,Female,1982-11-23,Argentina,Australia,Perth,Melbourne Airport,Family,2003-05-09,Family Reunification,Temporary Resident,,FALSE
Raj,Singh,Male,1974-08-15,Morocco,United Kingdom,Sheffield,Manchester Airport,Asylum,2018-09-25,Persecution,Permanent Resident,,TRUE
Chen,Kumar,Male,1956-03-28,Afghanistan,United States,Boston,SEA,Asylum,2001-04-13,Family Reunification,Citizen,2007-02-16,TRUE
Raj,Chen,Female,1994-11-06,Mexico,Spain,Barcelona,Malaga–Costa del Sol,Family,2021-08-08,Conflict/War,Citizen,2031-07-29,TRUE
Raj,Gonzalez,Female,1976-01-18,South Africa,United States,Houston,HOU,Family,2014-10-13,Work,Temporary Resident,,FALSE
Jin,Smith,Male,1952-10-23,South Korea,Australia,Hobart,Brisbane Airport,Work,2015-08-10,Family Reunification,Departed,,FALSE
Emma,Park,Male,1969-01-17,Vietnam,Spain,Murcia,Valencia Airport,Skilled Worker,2002-11-22,Family Reunification,Citizen,2014-06-02,FALSE
Zoe,Sanchez,Female,1981-04-22,Egypt,France,Nice,CDG,Family,2023-12-29,Study,Permanent Resident,,FALSE
Ethan,Sanchez,Male,1987-10-21,Russia,Sweden,Linkoping,Malmo Airport,Asylum,2019-02-26,Study,Permanent Resident,,TRUE
Raj,Wang,Male,1981-10-14,China,Netherlands,Eindhoven,Eindhoven Airport,Family,2016-07-14,Family Reunification,Temporary Resident,,FALSE
Jin,Smith,Female,1990-11-13,Malaysia,United States,Atlanta,DFW,Asylum,2014-05-19,Family Reunification,Permanent Resident,,TRUE
Aria,Schmidt,Male,1970-06-27,Portugal,United Kingdom,Glasgow,Heathrow,Family,2008-09-16,Conflict/War,Permanent Resident,,TRUE
Liam,Perez,Female,1984-08-19,Iran,Sweden,Vasteras,Arlanda,Student,2016-09-23,Family Reunification,Citizen,2022-09-09,FALSE
Anna,Brown,Male,1990-05-08,South Korea,Spain,Barcelona,Malaga–Costa del Sol,Family,2020-12-21,Study,Permanent Resident,,FALSE
Alex,Singh,Male,2002-12-11,Romania,Italy,Rome,Malpensa,Skilled Worker,2025-08-31,Work,Permanent Resident,,FALSE
Amina,Brown,Female,1993-03-23,El Salvador,Spain,Malaga,Palma de Mallorca,Student,2016-05-07,Family Reunification,Permanent Resident,,FALSE
Ibrahim,Garcia,Male,1974-12-13,Algeria,Sweden,Jonkoping,Malmo Airport,Skilled Worker,2023-04-18,Work,Undocumented,,FALSE
Omar,Novak,Female,1972-05-19,Honduras,France,Marseille,Orly,Diversity,2003-09-02,Study,Permanent Resident,,FALSE
Anna,Khan,Male,1998-05-11,Peru,Italy,Florence,Turin Airport,Family,2018-03-16,Study,Permanent Resident,,FALSE
Chen,Hernandez,Male,1983-06-13,Argentina,Sweden,Vasteras,Malmo Airport,Family,2009-03-10,Work,Permanent Resident,,FALSE
Alex,Hassan,Female,1977-10-21,Egypt,Italy,Bologna,Turin Airport,Family,2006-08-23,Work,Permanent Resident,,FALSE
Elena,Bauer,Male,1983-02-24,Bangladesh,Spain,Barcelona,Palma de Mallorca,Family,2010-09-06,Family Reunification,Temporary Resident,,FALSE
Raj,Nowak,Female,2007-02-06,Iran,France,Lyon,Marseille Provence,Skilled Worker,2025-04-27,Work,Citizen,2033-07-28,FALSE
Igor,Johnson,Female,1963-02-11,South Africa,Australia,Hobart,Sydney Airport,Asylum,2020-02-21,Work,Permanent Resident,,TRUE
Chen,Moretti,Male,1985-10-26,Honduras,Germany,Dusseldorf,FRA,Student,2014-09-24,Conflict/War,Citizen,2023-03-02,TRUE
Mia,Silva,Male,1990-08-12,South Korea,Germany,Dusseldorf,MUC,Diversity,2012-09-23,Study,Permanent Resident,,FALSE
David,Wang,Male,1995-09-07,Portugal,United Kingdom,London,Stansted,Asylum,2017-11-25,Family Reunification,Citizen,2024-11-02,TRUE
Priya,Chen,Male,1975-02-24,Germany,Germany,Dusseldorf,MUC,Diversity,2023-05-25,Family Reunification,Departed,,FALSE
Carlos,Rossi,Male,1969-09-24,Brazil,Canada,Winnipeg,Ottawa Intl,Student,2023-10-20,Conflict/War,Departed,,TRUE
Alex,Abdul,Male,1957-09-09,Cuba,United Kingdom,Cardiff,Heathrow,Student,2022-01-04,Study,Temporary Resident,,FALSE
Isabella,Schmidt,Female,1994-04-20,Nigeria,Spain,Barcelona,Valencia Airport,Work,2021-12-14,Climate/Disaster,Permanent Resident,,FALSE
Hiro,Lopez,Female,1999-10-23,Germany,Italy,Florence,Naples Intl,Student,2023-11-12,Work,Temporary Resident,,FALSE
Omar,Jones,Male,1963-04-29,China,Germany,Dusseldorf,BER,Student,2015-08-03,Study,Permanent Resident,,FALSE
Jin,Singh,Female,1959-08-18,Mexico,United States,Dallas,ORD,Family,2001-08-08,Work,Permanent Resident,,FALSE
Leila,Sanchez,Male,1991-08-21,Nigeria,Canada,Hamilton,Vancouver Intl,Diversity,2024-10-05,Work,Permanent Resident,,FALSE
Jin,Kumar,Male,1995-11-15,Vietnam,France,Bordeaux,CDG,Family,2024-07-09,Work,Permanent Resident,,FALSE
Zoe,Novak,Male,1986-09-29,Turkey,Australia,Hobart,Sydney Airport,Work,2017-04-13,Family Reunification,Citizen,2020-12-31,FALSE
Aria,Popov,Female,1958-02-28,India,Sweden,Stockholm,Arlanda,Work,2000-10-08,Study,Citizen,2009-10-20,FALSE
Igor,Nguyen,Male,1967-11-11,Ireland,Germany,Bremen,HAM,Family,2014-04-09,Study,Permanent Resident,,FALSE
Maria,Kumar,Male,2006-07-13,France,United States,Boston,HOU,Refugee,2024-09-27,Work,Temporary Resident,,TRUE
Anna,Chen,Male,1977-04-12,Germany,Italy,Bari,Turin Airport,Work,2002-08-13,Work,Citizen,2011-10-24,FALSE
Diego,Lopez,Female,1987-06-19,Afghanistan,Sweden,Norrkoping,Malmo Airport,Student,2012-01-03,Persecution,Temporary Resident,,TRUE
Anna,Sanchez,Female,1975-01-01,Iraq,Canada,Edmonton,Vancouver Intl,Student,2005-04-15,Family Reunification,Permanent Resident,,FALSE
Omar,Kumar,Male,1981-12-23,Bangladesh,Canada,Winnipeg,Ottawa Intl,Work,2009-05-28,Work,Temporary Resident,,FALSE
Camila,Chen,Male,1955-11-07,Russia,United Kingdom,London,Stansted,Work,2000-06-11,Persecution,Citizen,2008-01-30,TRUE
Olivia,Johnson,Male,1973-04-20,Iraq,Netherlands,Eindhoven,Rotterdam The Hague,Asylum,2008-08-16,Persecution,Citizen,2015-04-23,TRUE
Mohamed,Johnson,Female,1950-01-01,Russia,United States,Chicago,BOS,Refugee,2019-06-04,Economic Opportunity,Temporary Resident,,TRUE
Igor,Ali,Female,1962-06-27,Sri Lanka,Australia,Melbourne,Brisbane Airport,Skilled Worker,2009-03-31,Work,Undocumented,,FALSE
Anna,Jones,Female,2000-06-25,Cuba,Netherlands,Nijmegen,Schiphol,Diversity,2024-09-16,Family Reunification,Temporary Resident,,FALSE
Anna,Davis,Male,1954-01-14,United Kingdom,Spain,Bilbao,Valencia Airport,Work,2004-08-17,Family Reunification,Permanent Resident,,FALSE
Ibrahim,Rodriguez,Male,1976-09-25,Turkey,Spain,Malaga,Madrid–Barajas,Family,2022-04-15,Work,Citizen,2030-01-03,FALSE
Anita,Li,Male,1967-05-31,China,France,Paris,Nice Côte d'Azur,Work,2000-02-03,Conflict/War,Permanent Resident,,TRUE
Zoe,Wang,Male,1964-04-22,Portugal,Australia,Darwin,Sydney Airport,Refugee,2019-11-21,Work,Permanent Resident,,TRUE
Nina,Novak,Female,1956-05-16,Kenya,Netherlands,The Hague,Schiphol,Work,2011-01-16,Study,Temporary Resident,,FALSE
Lucas,Kim,Male,2004-07-28,Afghanistan,United States,Los Angeles,SFO,Refugee,2024-08-12,Work,Permanent Resident,,TRUE
Olivia,Abdul,Female,1972-04-24,Dominican Republic,Australia,Adelaide,Sydney Airport,Family,2024-12-30,Family Reunification,Citizen,2028-06-22,FALSE
Ethan,Hassan,Male,1992-05-07,Ireland,Italy,Milan,Bologna Guglielmo Marconi,Family,2024-05-14,Work,Permanent Resident,,FALSE
Isabella,Martinez,Female,1981-02-23,France,Spain,Valladolid,Valencia Airport,Student,2018-10-23,Work,Citizen,2026-06-22,FALSE
Noah,Nowak,Male,1993-01-11,Mexico,Germany,Frankfurt,DUS,Student,2021-07-15,Work,Citizen,2027-10-26,FALSE
Emma,Lopez,Female,2000-03-29,Iran,United Kingdom,Birmingham,Edinburgh Airport,Family,2022-08-29,Work,Temporary Resident,,FALSE
Hassan,Ibrahim,Female,1989-10-22,China,United States,New York,MIA,Work,2018-12-24,Work,Permanent Resident,,FALSE
Raj,Kim,Female,1977-09-13,United Kingdom,Germany,Leipzig,HAM,Work,2015-09-10,Persecution,Permanent Resident,,TRUE
Wei,Hernandez,Male,1958-10-10,Morocco,Canada,Vancouver,Calgary Intl,Skilled Worker,2013-01-25,Family Reunification,Permanent Resident,,FALSE
Anita,Hassan,Male,1998-06-12,Honduras,Germany,Cologne,DUS,Diversity,2021-11-20,Conflict/War,Permanent Resident,,TRUE
Raj,Kumar,Female,1994-04-06,South Africa,United Kingdom,Leeds,Gatwick,Work,2016-02-08,Study,Permanent Resident,,FALSE
Yuki,Nowak,Female,1975-10-31,Taiwan,United States,New York,LAX,Work,2024-12-10,Persecution,Permanent Resident,,TRUE
Nina,Gonzalez,Female,1998-05-12,Dominican Republic,Netherlands,Amsterdam,Eindhoven Airport,Student,2025-04-17,Study,Permanent Resident,,FALSE
Anna,Chen,Female,1987-08-10,Ireland,Netherlands,Eindhoven,Schiphol,Family,2006-12-27,Study,Citizen,2017-03-05,FALSE
Omar,Novak,Male,1976-04-06,Dominican Republic,United Kingdom,Liverpool,Edinburgh Airport,Family,2002-08-14,Work,Permanent Resident,,FALSE
Noah,Yamada,Female,1983-07-06,Italy,Canada,Montreal,Montreal-Trudeau,Student,2024-07-17,Study,Departed,,FALSE
Liam,Silva,Female,1966-12-27,Spain,Spain,Valladolid,Barcelona–El Prat,Student,2024-09-19,Conflict/War,Permanent Resident,,TRUE
Wei,Ibrahim,Female,1966-10-16,Poland,Netherlands,The Hague,Eindhoven Airport,Family,2002-03-31,Work,Permanent Resident,,FALSE
Lucas,Rossi,Male,1969-12-24,India,United Kingdom,Leeds,Manchester Airport,Student,2015-04-13,Conflict/War,Permanent Resident,,TRUE
Maria,Garcia,Male,1995-04-20,Honduras,Canada,Vancouver,Vancouver Intl,Student,2018-12-13,Climate/Disaster,Permanent Resident,,FALSE
Mia,Abdul,Female,1975-09-28,Russia,United Kingdom,Glasgow,Gatwick,Diversity,2020-01-03,Economic Opportunity,Temporary Resident,,FALSE
Elena,Wang,Female,1959-02-25,Brazil,Sweden,Helsingborg,Arlanda,Work,2001-11-01,Study,Permanent Resident,,FALSE
Maria,Silva,Female,1951-05-30,Taiwan,United States,Boston,HOU,Family,2016-06-05,Family Reunification,Permanent Resident,,FALSE
Ethan,Schmidt,Female,1981-04-19,Germany,Spain,Valladolid,Madrid–Barajas,Asylum,2004-10-05,Work,Citizen,2013-02-13,TRUE
Liam,Hassan,Female,1972-05-05,Kenya,Germany,Berlin,HAM,Diversity,2008-08-23,Study,Permanent Resident,,FALSE
Amina,Chen,Male,1969-12-12,Iraq,Italy,Bari,Malpensa,Work,2018-12-08,Study,Citizen,2030-08-27,FALSE
Chen,Johnson,Male,2005-05-24,Germany,Australia,Adelaide,Adelaide Airport,Family,2025-08-17,Study,Citizen,2036-03-06,FALSE
Anita,Hassan,Female,1973-08-30,Taiwan,Australia,Melbourne,Brisbane Airport,Student,2024-08-13,Conflict/War,Permanent Resident,,TRUE
Emma,Ibrahim,Female,1978-10-16,Poland,Canada,Montreal,Montreal-Trudeau,Skilled Worker,2019-10-06,Work,Citizen,2024-09-03,FALSE
Fatima,Zhang,Male,1974-02-24,Indonesia,Netherlands,Amsterdam,Eindhoven Airport,Asylum,2016-06-18,Work,Permanent Resident,,TRUE
